naslov,avtor,cas_priprave,cas_kuhanja,stevilo_ocenjevalcev,ocena,dieta,zvrst
Sausage and sage potato patties,Lesley Waters,0-30,0-10,2,4.0,0,Main course
Sausage and spinach cakes on braised barley,Brian Turner,0-30,30-60,0,0.0,0,Main course
Sausage and vegetable casserole,The Hairy Bikers,0-30,30-60,5,4.2,0,Main course
Sausage bake with gnocchi,Rachel Phipps,0-30,10-30,84,4.33,0,Main course
Sausage casserole with beans,Katie and Giancarlo Caldesi,0-30,60-120,3,3.67,0,Main course
Sausage kebabs,Kate Morris and Sally Brown,0-30,10-30,0,0.0,0,Light meals and snacks
Sausage meatball noodle stir-fry,Georgina Mackenzie,0-30,10-30,8,4.5,0,Main course
Sausage palmiers,James Tanner,0-30,10-30,0,0.0,0,Starters and nibbles
Sausage plait,Paul Hollywood,overnight,30-60,2,5.0,0,Main course
Sausage ragù with tagliatelle,Rick Stein,30-60,30-60,44,4.84,0,Main course
Sausage roll wreath,Richard Burr,60-120,10-30,4,4.0,0,Starters and nibbles
Sausage rolls,Simon Rimmer,0-30,10-30,18,4.72,0,Starters and nibbles
Sausage rolls and piccalilli ,Paul Ainsworth,overnight,30-60,6,4.67,0,Main course
Sausage rolls with caramelised red onions,Jane Beedle,00-120,10-30,4,5.0,0,Cakes and baking
Sausage rolls with pickle,Paul Hollywood,0-30,30-60,1,5.0,0,Light meals and snacks
Sausage roll’s big night out,Lorraine Pascale,30-60,10-30,1,5.0,0,Starters and nibbles
Sausage stew with butter beans,Merrilees Parker,0-30,10-30,0,0.0,0,Main course
"Sausage, beans and cheese pasty",Matt Tebbutt,0-30,10-30,3,4.67,0,Main course
"Sausage, cauliflower and fennel seed bread pudding",Claire Thomson,0-30,60-120,0,0.0,0,Main course
"Sausage, chicken and squash traybake",The Hairy Bikers,0-30,30-60,31,4.81,0,Main course
"Sausage, potato and carrot rosti with a fried egg",Brian Turner,0-30,0-10,1,4.0,0,Recipe
"Sausage, pumpkin and sage casserole",Matt Tebbutt,0-30,60-120,15,5.0,0,Main course
"Sausage, radicchio and lemon gnocchi",James Martin,0-30,60-120,3,4.67,0,Main course
"Sausage, squash and kale pasta bake",Rebecca Sargent,0-30,30-60,5,4.0,0,Main course
"Sausage, sweet potato and broccoli traybake",Rebecca Sargent,0-30,30-60,2,4.5,0,Main course
Sausagemeat stuffing,Lotte Duncan,0-30,10-30,3,5.0,0,Side dishes
Sausages and mustard,Nigel Slater,0-30,10-30,7,4.86,0,Main course
Sausages in a red wine sauce with Duchess potatoes,Brian Turner,0-30,60-120,0,0.0,0,Main course
Sausages with Yorkshire pudding (toad in the hole Purnell-style),Glynn Purnell,00-120,10-30,4,4.0,0,Main course
"Sausages with crispy leeks, mustard mash, red wine sauce and honey-glazed parsnips",Oli Mannion,0-30,30-60,4,4.0,0,Main course
Sausages with onion gravy and mustard mash,Richard Phillips,0-30,0-10,0,0.0,0,Main course
Sausages with wild mushrooms and lentils,Antony Worrall Thompson,0-30,30-60,3,5.0,0,Main course
Sausages wrapped in bacon,Nick Nairn,0-30,10-30,1,3.0,0,Side dishes
"Sausages, Stilton and mustard mash with sautéed cauliflower",Brian Turner,0-30,0-10,1,5.0,0,Recipe
Sautéed broccoli with sesame,Richard Phillips,0-30,0-10,2,4.5,Vegetarian,Recipe
Sautéed caramelised fennel,Delia Smith,0-30,30-60,0,0.0,Vegetarian,Side dishes
Sautéed chicken livers with capers on toast,José Pizarro,0-30,0-10,0,0.0,0,Light meals and snacks
Sautéed chicken with tarragon sauce and skinny fries,James Martin,0-30,30-60,1,5.0,0,Main course
Sautéed chicken with wine and morel mushrooms,Glynn Purnell,0-30,30-60,2,5.0,0,Main course
Sautéed duck with rosti potato and crisp fennel,James Tanner,0-30,10-30,0,0.0,0,Main course
Sautéed garlic potatoes,Garrey Dawson,0-30,10-30,1,5.0,Vegetarian,Recipe
Sautéed giant prawns with garlic and chilli,Antonio Carluccio,0-30,10-30,0,0.0,0,Main course
Sautéed mushroom and cheese bruschetta,James Martin,0-30,10-30,0,0.0,Vegetarian,Recipe
Sautéed new potatoes with oregano,Richard Phillips,0-30,10-30,0,0.0,Vegetarian,Recipe
"Sautéed pork with peaches, white wine, cream and herbs",Nick Nairn,0-30,10-30,1,3.0,0,Main course
"Sautéed potato, green bean and rhubarb salad with almond pesto",Brian Turner,0-30,0-10,0,0.0,Vegetarian,Recipe
Sautéed potatoes,Phil Vickery,0-30,0-10,0,0.0,Vegetarian,Recipe
Sautéed potatoes with lemon and rosemary,James Martin,0-30,10-30,5,5.0,Vegetarian,Side dishes
"Sautéed potatoes with parsley, garlic and lemon",Nick Nairn,0-30,0-10,0,0.0,Vegetarian,Recipe
"Sautéed red mullet and sauerkraut with smoked bacon, juniper and German beer",Matt Tebbutt,0-30,10-30,0,0.0,0,Light meals and snacks
Sautéed sweet potatoes with roasted loin of lamb and sweet potato crisp,James Martin,0-30,10-30,0,0.0,0,Main course
Savarin with Chantilly cream ,Paul Hollywood,00-120,30-60,3,5.0,Vegetarian,Desserts
Savoury French toast,Nadiya Hussain,0-30,10-30,30,4.03,0,Light meals and snacks
Savoury bites,Kate Morris and Sally Brown,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
Savoury brioche couronne ,Paul Hollywood,00-120,10-30,1,5.0,0,Cakes and baking
Savoury cheesecake,Kate Morris and Sally Brown,60-120,0-0,1,5.0,0,Starters and nibbles
Savoury choux buns with creamy mushrooms,Paul Hollywood,0-30,30-60,0,0.0,Vegetarian,Starters and nibbles
Savoury coconut rice,Maria Elia,0-30,10-30,0,0.0,Vegetarian,Recipe
Savoury gruyère and courgette muffins,Simon Rimmer,0-30,10-30,7,4.71,Vegetarian,Cakes and baking
Savoury hotpot,Karen Mulholland,0-30,10-30,0,0.0,0,Main course
Savoury pies with Jarlsberg cheese and ham (Norwegian pierogi),The Hairy Bikers,00-120,10-30,1,4.0,0,Starters and nibbles
Savoury pork and fennel baklava with roasted tomatoes and feta,Sabrina Ghayour,0-30,00-120,0,0.0,0,Main course
Savoury smoked chicken and chive omelette,Phil Vickery,0-30,10-30,0,0.0,0,Recipe
Savoury-filled choux buns,Ruby Tandoh,60-120,30-60,0,0.0,Vegetarian,Starters and nibbles
Savoy cabbage and smoked bacon soup,Gino D&#x27;Acampo,0-30,10-30,1,5.0,0,Light meals and snacks
Scallop and chorizo skewers,Simon Rimmer,0-30,10-30,1,5.0,0,Starters and nibbles
Scallop and new potato salad with shaved fennel,Paul Rankin,0-30,0-10,0,0.0,0,Starters and nibbles
Scallop ravioli with seared scallops and white wine sauce,James Martin,60-120,10-30,0,0.0,0,Starters and nibbles
"Scallop risotto with roe butter, Parmesan and hispi cabbage",Michel Roux Jr.,0-30,30-60,0,0.0,0,Starters and nibbles
"Scallop, potato and fennel tart with dill sauce",Matt Tebbutt,0-30,30-60,0,0.0,0,Main course
Scallops Coquilles Saint Jacques with a Little Gem salad,James Martin,30-60,30-60,0,0.0,0,Main course
Scallops and chorizo,Ian Taylor,0-30,10-30,1,4.0,0,Starters and nibbles
Scallops and prawns with ham butter and peas and broad beans,Matt Tebbutt,30-60,10-30,0,0.0,0,Main course
Scallops beurre blanc,Simon Hopkinson,0-30,10-30,5,5.0,0,Starters and nibbles
Scallops in a white wine sauce with watercress,Brian Turner,0-30,10-30,0,0.0,0,Main course
Scallops in the shell,Tom Kitchin,0-30,30-60,1,5.0,0,Starters and nibbles
Scallops in the shell in puff pastry,James Martin,0-30,30-60,1,5.0,0,Starters and nibbles
"Scallops topped with black pudding with potato, celery and apple mash",Silvena Rowe,0-30,10-30,0,0.0,0,Starters and nibbles
"Scallops with apple, black pudding, apple salad and an apple and vanilla purée",James Martin,0-30,10-30,2,5.0,0,Starters and nibbles
Scallops with bacon and cabbage,Matt Tebbutt,0-30,10-30,0,0.0,0,Starters and nibbles
"Scallops with bacon, black pudding and colcannon",The Hairy Bikers,0-30,10-30,9,5.0,0,Main course
Scallops with hazelnut butter,Nigel Slater,0-30,0-10,1,5.0,0,Starters and nibbles
Scallops with kefir and sorrel sauce and pickled celeriac,Helena Puolakka,30-60,10-30,0,0.0,0,Starters and nibbles
Scallops with leek and chestnut,Stephane Reynaud,0-30,10-30,0,0.0,0,Starters and nibbles
Scallops with lemon sauce and prawn linguine,Matt Tebbutt,0-30,10-30,0,0.0,0,Main course
"Scallops with oloroso sherry, oyster mushrooms and migas",Sam and Sam Clark,0-30,60-120,0,0.0,0,Starters and nibbles
Scallops with pasta,Paul Rankin,0-30,10-30,1,3.0,0,Recipe
Scallops with pickled shallots and oyster dressing,Anna Haugh,0-30,60-120,0,0.0,0,Main course
Scallops with smoked butter hollandaise,Nathan Outlaw,60-120,10-30,0,0.0,0,Main course
Scampi po’ boy,Emily Angle,0-30,10-30,3,5.0,0,Light meals and snacks
Scarlet salad,Matt Pritchard,overnight,0-0,1,5.0,Vegetarian,Light meals and snacks
Scary Halloween cookies,Mari Williams,60-120,10-30,6,4.83,Vegetarian,Cakes and baking
Scented jasmine rice,Ching-He Huang,0-30,10-30,0,0.0,Vegetarian,Recipe
Schichttorte,Paul Hollywood,0-30,60-120,2,4.0,Vegetarian,Cakes and baking
Scones with and mango jam,Ellis Barrie,0-30,10-30,0,0.0,Vegetarian,Desserts
Scones with homemade strawberry jam and clotted cream,James Martin,0-30,10-30,4,5.0,Vegetarian,Cakes and baking
Scones with honey syrup,Phil Vickery,0-30,10-30,0,0.0,Vegetarian,Desserts
Scones with strawberry compôte and clotted cream,James Martin,0-30,10-30,2,3.0,Vegetarian,Cakes and baking
Scones with strawberry jam and clotted cream,Valentine Warner,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
Scorched confit pork belly with hot pickled pineapple salad and black pepper powder,Glynn Purnell,overnight,00-120,0,0.0,0,Main course
Scorched mackerel with chilli tomatoes,Glynn Purnell,0-30,10-30,0,0.0,0,Main course
Scotch broth,Mike Simpson,00-120,60-120,7,3.57,0,Main course
Scotch egg bhaji with coriander and lime dressing,Dan Doherty,0-30,30-60,0,0.0,0,Side dishes
Scotch egg of black pudding,Paul Heathcote,0-30,10-30,1,5.0,0,Starters and nibbles
Scotch egg with apple,Ed Baines,0-30,10-30,0,0.0,0,Light meals and snacks
Scotch egg with homemade vegetable crisps,James Martin,30-60,10-30,0,0.0,0,Light meals and snacks
Scotch eggs,Simon Rimmer,0-30,10-30,4,4.5,0,Starters and nibbles
Scotch eggs with mustard,James Martin,0-30,10-30,0,0.0,0,Recipe
Scotch pancakes,Lesley Waters,0-30,0-10,2,5.0,Vegetarian,Light meals and snacks
Scotch pancakes with smoked salmon and horseradish crème fraîche,Sue Lawrence,0-30,10-30,0,0.0,0,Recipe
"Scotch pancakes with spiced compôte, amaretto cream and baked plums",Trevor Jones,0-30,30-60,0,0.0,Vegetarian,Desserts
Scotch pies,Paul Hollywood,30-60,30-60,3,5.0,0,Main course
Scottish cranachan with a wee twist,Tony Singh,0-30,10-30,2,5.0,Vegetarian,Desserts
Scottish raspberries with toasted oats and cream,Nigel Slater,0-30,0-10,0,0.0,Vegetarian,Desserts
Scouse,Simon Rimmer,0-30,00-120,4,1.75,0,Main course
Scouse eggs ,Simon Rimmer,0-30,10-30,0,0.0,Vegetarian,Starters and nibbles
Scouse pie,Paul Hollywood,0-30,00-120,1,5.0,0,Main course
Scrambled egg and toast with smoked salmon,Brian Turner,0-30,0-10,2,4.5,0,Brunch
Scrambled eggs with grilled tomato,Fiona Hunter,0-30,0-10,0,0.0,Vegetarian,Light meals and snacks
Scrambled eggs with pastrami,Gino D&#x27;Acampo,0-30,10-30,0,0.0,0,Brunch
Scrambled eggs with smoked salmon,Fiona Hunter,0-30,0-10,0,0.0,0,Brunch
Scrambled eggs with smoked salmon and brioche,Delia Smith,30-60,0-10,1,5.0,0,Brunch
Scrambled eggs with spinach and kale,Tom Kerridge,0-30,0-10,6,4.0,Vegetarian,Brunch
Sea bass ceviche on corn husks with a palm heart salad,Martin Morales,0-30,10-30,0,0.0,0,Main course
Sea bass ceviche with avocado cream and spring onion fritters,Matt Tebbutt,0-30,0-10,2,5.0,0,Main course
Sea bass ceviche with sesame dressing,Nick Nairn,0-30,0-0,0,0.0,0,Recipe
Sea bass en croute with Puy lentils,Ryan Chong,30-60,30-60,0,0.0,0,Main course
Sea bass en papillote with a Thai-style salad and lime butter sauce,Lesley Waters,0-30,10-30,0,0.0,0,Main course
Sea bass fillet with rosemary and lemon,Mitch Tonks,0-30,0-10,9,5.0,0,Main course
Sea bass in a coriander and chilli batter with chips,Galton Blackiston,0-30,30-60,0,0.0,0,Main course
Sea bass in salt crust with tomato and anchovy sauce,John Burton Race,30-60,30-60,0,0.0,0,Main course
Sea bass roasted with rosemary and lemon,Mitch Tonks,0-30,10-30,1,5.0,0,Main course
"Sea bass with crab mayonnaise, roasted fennel and orange",Nathan Outlaw,30-60,10-30,0,0.0,0,Main course
Sea bass with herb gnocchi,James Martin,30-60,0-10,0,0.0,0,Main course
Sea bass with lime and lemongrass,Tom Aikens,0-30,10-30,0,0.0,0,Main course
Sea bass with mussels and saffron,Luke Matthews,0-30,10-30,0,0.0,0,Main course
Sea bass with mussels and saffron cream sauce,James Martin,0-30,10-30,0,0.0,0,Main course
Sea bass with new potatoes cooked in milk and watercress salsa,Matt Tebbutt,0-30,10-30,0,0.0,0,Main course
Sea bass with olive crushed potatoes and sauce vierge,Michael Caines,0-30,10-30,1,5.0,0,Main course
Sea bass with pesto dressing,Alex Mackay,0-30,10-30,1,5.0,0,Main course
Sea bass with potato rosti and bacon and cherry tomato salsa,Simon Rimmer,0-30,0-10,0,0.0,0,Main course
"Sea bass with quinoa and herb salad, coriander mayonnaise and crispy onions",James Martin,0-30,60-120,1,4.0,0,Main course
Sea bass with rocket sauce (branzino con salsa alla rucola),Gennaro Contaldo,0-30,10-30,1,5.0,0,Main course
"Sea bass with sautéed wild mushrooms, sage and crispy Serrano ham",José Pizarro,0-30,10-30,0,0.0,0,Main course
Sea bass with slow cooked fennel and tomatoes,Antony Worrall Thompson,0-30,00-120,4,5.0,0,Main course
"Sea bass with spring onion, chilli, garlic and Thai basil with miso glazed aubergine",James Martin,0-30,10-30,0,0.0,0,Main course
"Sea bass with tomato, olive and herb sauce",Mitch Tonks,0-30,0-10,2,4.5,0,Main course
"Sea bass with walnut, mint and feta pesto",Mitch Tonks,0-30,0-10,0,0.0,0,Main course
Sea bream baked in a salt crust with roasted fennel and grapefruit,Daniel Galmiche,0-30,10-30,0,0.0,0,Main course
Sea bream cooked with cherry tomatoes,Gennaro Contaldo,0-30,10-30,5,5.0,0,Main course
"Sea bream en papillote with lemon, white wine and dill",James Tanner,0-30,0-10,0,0.0,0,Main course
Sea bream in crazy water (Orata all’acqua pazza),Gennaro Contaldo,0-30,10-30,0,0.0,0,Main course
Sea bream with a courgette salad with fresh mint and rocket,Gennaro Contaldo,30-60,30-60,0,0.0,0,Main course
Sea bream with a myoga salad and potatoes,Jason Atherton,30-60,10-30,0,0.0,0,Main course
"Sea bream with a sweetcorn, caper and pine nut dressing ",Bryn Williams,00-120,10-30,1,5.0,0,Main course
Sea bream with heritage tomato salad and nasturtium pesto,Tom Kerridge,30-60,30-60,1,5.0,0,Main course
"Sea bream, cured squid dashi minestrone ",Bryn Williams,0-30,60-120,0,0.0,0,Main course
"Sea trout ceviche, tomatillo mojo, plantain fritter and lime dressing",Anna Hansen,0-30,0-0,0,0.0,0,Starters and nibbles
Seabass with roast vegetables,Olia Hercules,0-30,10-30,1,5.0,0,Main course
Seafood biryani with crunchy salad and masala raita,Aktar Islam,30-60,30-60,1,4.0,0,Main course
Seafood chowder,Darina Allen,0-30,10-30,1,5.0,0,Light meals and snacks
Seafood crumble ,Nadiya Hussain,0-30,30-60,11,2.45,0,Main course
Seafood gratin with caramelised apples,Rick Stein,0-30,30-60,31,4.97,0,Main course
Seafood lasagne,Simon Rimmer,0-30,30-60,5,4.2,0,Main course
Seafood parcel,Phil Vickery,0-30,10-30,0,0.0,0,Recipe
Seafood pasta with a light curry sauce,Monica Galetti,60-120,10-30,0,0.0,0,Main course
Seafood pasta with garlic bread,The Hairy Bikers,0-30,10-30,8,5.0,0,Main course
Seafood pasta with white wine and chilli,Gino D&#x27;Acampo,0-30,10-30,3,4.67,0,Main course
Seafood ramen,Ken Yamada,overnight,00-120,0,0.0,0,Main course
Seafood risotto,Rick Stein,30-60,30-60,11,4.82,0,Main course
Seafood stew (bourride),Matt Tebbutt,0-30,30-60,0,0.0,0,Main course
Seafood tagliatelle,Garrey Dawson,0-30,0-10,1,5.0,0,Main course
Seafood with herbs and garlic,Paul Rankin,0-30,10-30,0,0.0,0,Recipe
"Seafood, olive and caper risotto",Nick Nairn,0-30,10-30,0,0.0,0,Main course
Seared balsamic chicken salad,Mike Robinson,0-30,10-30,0,0.0,0,Recipe
Seared beef tataki with steamed broccoli and ponzu-style sauce,Paul Rankin,0-30,0-10,0,0.0,0,Main course
"Seared feather blade of Wagyu beef with shallot rings, beetroot purée, curly kale, sautéed potatoes, beef jus",Galton Blackiston,0-30,10-30,1,5.0,0,Recipe
Seared halibut with sweet potato mash,Nick Nairn,0-30,0-10,0,0.0,0,Main course
Seared lamb fillet on ciabatta with Stilton butter,Mike Robinson,0-30,0-10,0,0.0,0,Recipe
Seared lamb with honey carrots and pesto dressing,Sophie Michell,0-30,10-30,0,0.0,0,Main course
Seared monkfish with herby lentils,Nick Nairn,0-30,30-60,0,0.0,0,Main course
"Seared plaice fillets with warm butterbeans, lemon, chilli and herbs",James Tanner,overnight,30-60,4,4.0,0,Main course
Seared poussin with sweet pepper marmalade,Tony Tobin,0-30,10-30,0,0.0,0,Main course
Seared salmon and chorizo salad,Simon Rimmer,0-30,10-30,0,0.0,0,Main course
Seared salmon fillet with sweet and sour peppers,Brian Turner,0-30,0-10,0,0.0,0,Main course
Seared salmon with asparagus salsa,Monica Galetti,0-30,0-10,0,0.0,0,Light meals and snacks
Seared salmon with leek mash and mustard hollandaise sauce,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Seared salmon with mango salsa,Nick Nairn,0-30,0-10,0,0.0,0,Main course
Seared salmon with sauce messine and broccoli,Freddy Bird ,0-30,10-30,3,5.0,0,Recipe
"Seared salmon with spinach, roasted tomatoes and pesto dressing",James Tanner,0-30,10-30,1,5.0,0,Main course
"Seared salmon, with creamed barley, savoy cabbage and horseradish",Niklas Ekstedt,0-30,00-120,2,4.5,0,Main course
Seared scallop succotash,Jack Stein,0-30,10-30,0,0.0,0,Light meals and snacks
"Seared scallops with bacon, Jerusalem artichoke purée and crushed peas",James Martin,0-30,10-30,0,0.0,0,Starters and nibbles
Seared scallops with crab fritters and ravigote sauce,Matt Tebbutt,0-30,10-30,0,0.0,0,Main course
"Seared scallops with crab, cucumber, lime and vanilla",Bryn Williams,30-60,0-10,0,0.0,0,Starters and nibbles
Seared scallops with mint and coriander chutney ,Romy Gill,0-30,10-30,0,0.0,0,Main course
Seared sea bass fillet with green beans and sauce vierge,James Tanner,0-30,0-10,0,0.0,0,Main course
Seared sea bream with risotto and rocket pesto,James Tanner,0-30,10-30,0,0.0,0,Main course
"Seared sesame spiced beef with sweet pepper, courgette and noodles",Lesley Waters,0-30,10-30,0,0.0,0,Main course
Seared sirloin steak with a rendang sauce and fragrant slaw ,James Martin,30-60,10-30,0,0.0,0,Main course
Seared sliced beef salad with rocket and horseradish dressing,Ed Baines,30-60,10-30,0,0.0,0,Recipe
Seared smoked salmon with an apple and watercress salad and horseradish mayonnaise,Nick Nairn,60-120,30-60,0,0.0,0,Starters and nibbles
Seared squid linguine with cherry tomatoes,Paul Rankin,0-30,10-30,2,5.0,0,Main course
"Seared squid, chorizo and chickpea purée",Paul Merrett,0-30,10-30,0,0.0,0,Starters and nibbles
Seared steak with aioli and roast tomatoes,Andi Oliver,30-60,30-60,0,0.0,0,Main course
Seared swordfish steaks with salmoriglio and tomato and pepper salad,Rick Stein,30-60,0-10,4,4.25,0,Main course
Seared tuna sashimi with avocado salad,Leila Lindholm,0-30,0-10,0,0.0,0,Starters and nibbles
Seared tuna steaks with anchovy and rosemary sauce,Theo Randall,0-30,10-30,6,5.0,0,Main course
Seared tuna with avocado purée and radish and apple salad,Bryn Williams,0-30,0-10,0,0.0,0,Recipe
Seared tuna with coconut chilli chutney and cabbage salad,James Martin,0-30,0-10,0,0.0,0,Main course
Seared tuna with glass noodle salad,James Martin,0-30,10-30,2,5.0,0,Main course
Seared tuna with pak choi,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Seared tuna with panzanella-style salad,James Martin,0-30,60-120,0,0.0,0,Main course
Seared tuna with radish salad,James Martin,0-30,0-10,0,0.0,0,Light meals and snacks
Seashell caramels,Kitty Hope and Mark Greenwood,0-30,30-60,0,0.0,Vegetarian,Desserts
Seasonal crumble ,The Hairy Bikers,60-120,30-60,2,5.0,Vegetarian,Desserts
Seeded breadsticks ,Mary Berry,30-60,10-30,1,5.0,Vegetarian,Starters and nibbles
Seeded loaf,Susannah Vickers,overnight,30-60,0,0.0,Vegetarian,Cakes and baking
Seekh kebabs and spicy chilli corn,The Rignall Family ,30-60,10-30,0,0.0,0,Main course
Seekh kebabs with mint sauce,Yazi Bagh Ali ,30-60,10-30,7,4.86,0,Main course
Seitan skewers with easy satay sauce,Justine Pattison,30-60,0-10,0,0.0,Vegetarian,Main course
Seitan with raw vegetable salad,Glynn Purnell,0-30,0-10,0,0.0,Vegetarian,Main course
Semifreddo al torroncino (homemade nougat ice cream),Anna Venturi,00-120,0-0,1,5.0,Vegetarian,Desserts
Semolina and chilli squid with smacked cucumber salad,Donal Skehan,0-30,10-30,0,0.0,0,Light meals and snacks
Semolina and honey cake,James Martin,0-30,30-60,3,2.33,Vegetarian,Desserts
Serrano ham and chicken croquettes ,Rick Stein,overnight,10-30,0,0.0,0,Light meals and snacks
Serrano ham and salt cod croquetas with aioli,James Martin,00-120,10-30,0,0.0,0,Light meals and snacks
Serrano ham-wrapped sea bass with sautéed potatoes,Nick Nairn,0-30,10-30,0,0.0,0,Main course
Sesame chicken balls and watercress salad,Anna Haugh,0-30,10-30,5,4.2,0,Light meals and snacks
Sesame chicken kebabs with mango salsa,Nick Nairn,30-60,10-30,0,0.0,0,Main course
Sesame chicken stir-fry,Rachel Phipps,0-30,10-30,1,5.0,0,Main course
Sesame fried brill with coleslaw and wontons,Paul Rankin,60-120,0-10,1,4.0,0,Main course
Sesame lunchbox noodles,Emily Angle,0-30,10-30,1,5.0,Vegetarian,Light meals and snacks
Sesame pan-roasted hake,Gino D&#x27;Acampo,0-30,0-10,0,0.0,0,Main course
Sesame prawns on toast,Gino D&#x27;Acampo,0-30,0-10,0,0.0,0,Starters and nibbles
Sesame roast pork with pan-fried courgettes,Richard Phillips,0-30,10-30,0,0.0,0,Main course
Sesame salmon with soy and citrus dressing,James Tanner,0-30,0-10,0,0.0,0,Recipe
Sesame salmon with tempura salmon and yuzu mayonnaise,James Martin,0-30,10-30,0,0.0,0,Main course
Sesame seed bananas with vanilla soufflé,James Martin,0-30,10-30,0,0.0,Vegetarian,Desserts
Sesame seed salmon with mirin,Nigel Slater,0-30,0-10,6,4.0,0,Light meals and snacks
Sesame steak with spicy green beans,Gino D&#x27;Acampo,0-30,10-30,0,0.0,0,Recipe
Sesame tuna with noodle stir fry,Bill Oddie,30-60,10-30,6,4.17,0,Main course
Sesame tuna with noodles,Simon Rimmer,0-30,10-30,0,0.0,0,Main course
Sesame-crusted salmon with orange and soy sauce,James Tanner,0-30,10-30,0,0.0,0,Main course
Sesame-crusted tuna with broccoli and sweet potato,Gino D&#x27;Acampo,0-30,10-30,1,5.0,0,Main course
Sesame-honey chicken salad,Jo Pratt,30-60,0-10,3,5.0,0,Main course
Seven-cup pudding with butterscotch sauce,Sue Lawrence,0-30,00-120,1,5.0,0,Desserts
Seville orange meringue pie,Mary Berry,30-60,60-120,0,0.0,0,Desserts
Shahi tukra,Asma Khan,0-30,10-30,1,5.0,Vegetarian,Desserts
Shakh plov,Olia Hercules,30-60,60-120,0,0.0,Vegetarian,Main course
Shakshuka,The Hairy Bikers,0-30,10-30,39,4.74,Vegetarian,Main course
Shakshuka traybake,Rukmini Iyer,0-30,30-60,30,4.57,Vegetarian,Brunch
Shallot and aubergine tagliatelle,Gino D&#x27;Acampo,0-30,10-30,0,0.0,Vegetarian,Recipe
Shallot tarte tatin with whipped goats&#x27; cheese and watercress,Paul Ainsworth,30-60,30-60,1,5.0,0,Main course
"Shallot, onion and chive tart",Paul Hollywood,30-60,60-120,0,0.0,Vegetarian,Main course
Shami kebabs ,Rick Stein,30-60,60-120,3,3.67,0,Main course
Sharing chocolate fondant,Nadiya Hussain,0-30,10-30,6,4.67,Vegetarian,Desserts
Shashlik kebabs with sour cream dip and plum sauce,The Hairy Bikers,00-120,10-30,1,5.0,0,Main course
"Shaved fennel, herb and tomato salad",Nick Nairn,0-30,0-0,0,0.0,Vegetarian,Recipe
Sheek kavaab naan with malai tikka naanwich,Cyrus Todiwala,00-120,30-60,1,5.0,0,Main course
Sheer khurma,Asma Khan,30-60,10-30,0,0.0,0,Recipe
Shellfish stew,James Martin,0-30,10-30,0,0.0,0,Main course
Shepherd&#x27;s pie,Antony Worrall Thompson,0-30,60-120,25,4.16,0,Main course
Shepherd&#x27;s pie with cauliflower and blue cheese topping,Tom Kerridge,0-30,60-120,0,0.0,0,Main course
Shepherd&#x27;s pie with root veg,Paul Merrett,0-30,60-120,0,0.0,0,Main course
Shepherd’s pie with mint salsa verde,Paul Ainsworth,0-30,00-120,8,4.5,0,Main course
Sherbet dipper,Kitty Hope and Mark Greenwood,0-30,10-30,2,3.5,Vegetarian,Other
Sherry steak with mash,José Pizarro,0-30,10-30,1,5.0,0,Main course
Sherry trifle,Antony Worrall Thompson,30-60,0-0,7,4.29,Vegetarian,Desserts
"Shin of beef with ginger, carrot and cabbage",Tom Kerridge,overnight,00-120,2,4.5,0,Main course
Shirley Spears&#x27; marmalade pudding with Drambuie custard,Nick Nairn,0-30,00-120,1,5.0,Vegetarian,Desserts
Shirley Temple,Andy Pearson,0-30,0-0,0,0.0,Vegetarian,Drinks and cocktails
Short rib bao burger and spicy cucumber salad,Pippa Middlehurst,00-120,00-120,3,5.0,0,Main course
"Short rib of beef with mussels, parsley and wild garlic",Glynn Purnell,00-120,00-120,0,0.0,0,Main course
Shortbread sable with raspberries,James Martin,0-30,10-30,0,0.0,Vegetarian,Cakes and baking
Shortcut sausage meatballs,Nigella Lawson,0-30,10-30,6,4.67,0,Main course
Shredded chilli beef with spicy noodles,James Martin,0-30,10-30,4,5.0,0,Main course
Shredded duck with plums and chilli flatbread ,Nigel Slater,0-30,00-120,2,3.0,0,Main course
Shredded sprouts with bacon and chestnuts,Deborah Reddihough,0-30,0-0,2,5.0,0,Side dishes
Shrimp and grits,Sam Evans and Shauna Guinn,0-30,60-120,1,5.0,0,Main course
Shrimp kichri,Vivek Singh,0-30,30-60,1,3.0,0,Brunch
Shrimp ravioli with shrimp and tomato sauce,James Martin,60-120,0-10,1,4.0,0,Recipe
Shropshire fidget pie,The Hairy Bikers,0-30,60-120,1,5.0,0,Main course
Si dal (black urid lentils),Andy Varma,0-30,30-60,0,0.0,Vegetarian,Side dishes
Sichuan beef with fennel steamed bao buns and quick pickles,Ching-He Huang,00-120,60-120,0,0.0,0,Main course
Sichuan chilli chicken,Matt Tebbutt,60-120,10-30,0,0.0,0,Main course
Sichuan fried chicken,Matt Tebbutt,0-30,10-30,7,4.71,0,Main course
Sichuan orange beef,Ching-He Huang,0-30,0-10,1,5.0,0,Main course
Sichuan pepper beef stir-fry,Ching-He Huang,overnight,0-10,5,5.0,0,Main course
